""	KS01	KS02	KS03	KS04	KS05	KS06	KS07	KS08	KS09	KS10	KS11	KS12	KS13	KS14	KS15	KS16	KS17	KS18	KS19	KS20	KS21	KS22	KS23	KS24	KS25	KS26	KS27	KS29	KS30	KW01	KW02	KW03	KW04	KW05	KW06	KW07	KW08	KW09	KW10	KW11	KW12	KW13	KW14	KW15	KW16	KW17	KW18	KW19	KW20	KW21	KW22	KW23	KW24	KW25	KW26	KW27	KW28	KW29	KW30	RS01	RS02	RS03	RS04	RS05	RS06	RS07	RS08	RS09	RS10	RS11	RS12	RS13	RS14	RS15	RS16	RS17	RS18	RS19	RS20	RS21	RS22	RS23	RS24	RS25	RS26	RS27	RS28	RS29	RS30	RS31	RS32	RS33	RS34	RS35	RS36	RS37	RS38	RW01	RW02	RW03	RW04	RW05	RW06	RW07	RW08	RW09	RW10	RW11	RW12	RW13	RW14	RW15	RW16	RW17	RW18	RW19	RW20	RW21	RW22	RW23	RW24	RW25	RW26	RW27	RW28	RW29	RW33	RW34	RW35	RW36	RW37	RW38	ZS01	ZS02	ZS03	ZS04	ZS05	ZS06	ZS07	ZS08	ZS09	ZS10	ZS11	ZS12	ZS13	ZS14	ZS15	ZS16	ZS17	ZS18	ZS19	ZS20	ZS21	ZS22	ZS23	ZS24	ZS25	ZS26	ZS28	ZS29	ZW01	ZW02	ZW03	ZW04	ZW05	ZW06	ZW07	ZW08	ZW09	ZW10	ZW11	ZW12	ZW13	ZW14	ZW15	ZW16	ZW17	ZW18	ZW19	ZW20	ZW21	ZW22	ZW23	ZW24	ZW25	ZW26	ZW27	ZW28	ZW29
Abramis brama	0	0	0	20420	0	0	0	0	0	0	2289	0	0	0	0	10989	2223	1785	0	5543	7515	9868	19632	16511	46303	3614	20660	0	0	982	1008	0	0	285	0	3832	0	913	1014	0	1941	0	224	0	0	0	1535	8067	649	0	0	2259	0	0	0	801	2139	0	1250	72342	7239	0	0	0	0	24220	0	0	278411	107279	0	50166	1426	12413	12746	0	0	0	0	3162	4815	6858	6969	2659	3452	105001	15764	14659	17754	10541	6560	2465	792	4444	3280	4521	0	36623	6781	0	0	13145	0	13811	4546	8317	17904	1343	1433	22898	5723	12852	12068	7107	36149	17741	26397	11659	5819	13394	10369	30158	7146	12717	10909	47812	20345	581	8806	7858	640	0	270	1804	979	0	0	0	1612	1310	1838	0	0	0	0	0	1400	0	952	1063	0	0	2425	0	921	0	876	0	0	0	1895	0	0	0	0	0	3631	2554	0	2755	839	0	0	0	0	0	854	0	0	2526	0	862	0	4067	1033	1241	578	2126	0
Blicca+Vimba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2330	0	0	0	0	0	0	0	0	0	0	0	0	2898	0	1789	685	0	0	0	0	0	0	1089	0	0	0	2566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1256	0	1764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chondrostoma nasus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	602	1416	0	0	0	0	5213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L.idus+leuciscus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21879	0	0	0	0	0	0	0	0	13630	3286	0	0	0	0	0	0	0	0	0	0	0	0	1213	4422	650	0	0	0	0	0	0	0	1909	0	0	11740	3333	9309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8120	2371	3912	0	0	0	0	4470	0	0	13890	0	0	0	0	13697	0	1016	0	0	585	0	0	0	0	0	1328	3822	0	0	0	0	0	5224	0	29797	43991	0	0	0	2162	0	0	0	0	0	2789	0	0	0	0	0	1426	0	0	0	0	1137	3068	623	4089	0	663	0	1261	0
Phoxinus phoxinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2324	0	5289	817	1901	0	0	0	0	5999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7080	0	4322	2836	0	0	0	0	0	0	15843	2256
Rutilus rutilus	0	0	0	0	0	0	55900	3132	0	0	0	0	1510	6991	9364	13454	0	12244	0	7283	3968	40148	23658	35865	15344	8213	26869	28992	56662	0	0	0	0	0	0	8526	862	0	0	104	339	914	103	0	0	577	0	0	1271	0	0	0	0	0	0	0	0	0	1115	345650	6787	0	0	0	0	12675	24309	0	140211	144863	5899	20236	28958	4164	0	0	3332	15535	4628	0	12449	39323	10685	35438	82074	29529	6693	21730	16433	3998	979	960	52805	0	5053	36533	1536	224759	0	0	0	3688	0	0	0	1729	10599	0	0	3210	1018	6140	0	3814	31009	6362	7260	3543	3637	3811	0	16174	12918	14224	7003	8015	1893	862	3768	1016	5405	1786	0	53147	3662	0	0	5700	36393	0	0	0	0	32583	62729	1687	1202	1112	23282	28020	792	3382	22139	48620	13783	942	38484	2008	57511	16316	3739	2694	0	19527	0	0	10826	3746	6394	7813	1970	51	4917	995	3011	0	1974	11147	4881	22468	17809	9717	1188	15618	24819	0	2803	3036	3229
Barbatula barbatula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	568	555	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388	0	0	598	0	0	0	0	0	0	1336	0
Tinca tinca	2587	0	0	0	0	0	0	10813	0	0	0	0	0	0	0	0	0	0	0	0	0	2621	0	0	0	0	0	1114	0	0	0	0	0	0	0	3674	0	0	0	0	0	821	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2821	835	0	0	0	0	0	930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	837	1460	0	0	0	0	0	0	0	0	0	0	0	0	464	0	0	0	1582	0	0	0	0	0	0	0	508	0	0	0	1805	0	0
Ctenopharyngodon idella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1894	0	0	0	0	0	0	3064	0	0	0	0	0	0	0	0	0	1583	0	0	0	0	0	0	0	0	687	335	0	0	0	0	0	1595	5907	0	0	1627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	881	0	1691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1103	0	0	0	0	0	0	0
Hypophthalmichthys nobilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1525	0	0	0	0	0	0	1654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
