""	KS01	KS02	KS03	KS04	KS05	KS06	KS07	KS08	KS09	KS10	KS11	KS12	KS13	KS14	KS15	KS16	KS17	KS18	KS19	KS20	KS21	KS22	KS23	KS24	KS25	KS26	KS27	KS29	KS30	KW01	KW02	KW03	KW04	KW05	KW06	KW07	KW08	KW09	KW10	KW11	KW12	KW13	KW14	KW15	KW16	KW17	KW18	KW19	KW20	KW21	KW22	KW23	KW24	KW25	KW26	KW27	KW28	KW29	KW30	RS01	RS02	RS03	RS04	RS05	RS06	RS07	RS08	RS09	RS10	RS11	RS12	RS13	RS14	RS15	RS16	RS17	RS18	RS19	RS20	RS21	RS22	RS23	RS24	RS25	RS26	RS27	RS28	RS29	RS30	RS31	RS32	RS33	RS34	RS35	RS36	RS37	RS38	RW01	RW02	RW03	RW04	RW05	RW06	RW07	RW08	RW09	RW10	RW11	RW12	RW13	RW14	RW15	RW16	RW17	RW18	RW19	RW20	RW21	RW22	RW23	RW24	RW25	RW26	RW27	RW28	RW29	RW33	RW34	RW35	RW36	RW37	RW38	ZS01	ZS02	ZS03	ZS04	ZS05	ZS06	ZS07	ZS08	ZS09	ZS10	ZS11	ZS12	ZS13	ZS14	ZS15	ZS16	ZS17	ZS18	ZS19	ZS20	ZS21	ZS22	ZS23	ZS24	ZS25	ZS26	ZS28	ZS29	ZW01	ZW02	ZW03	ZW04	ZW05	ZW06	ZW07	ZW08	ZW09	ZW10	ZW11	ZW12	ZW13	ZW14	ZW15	ZW16	ZW17	ZW18	ZW19	ZW20	ZW21	ZW22	ZW23	ZW24	ZW25	ZW26	ZW27	ZW28	ZW29
Esox lucius	0	0	0	0	0	0	17110	5013	0	0	0	0	1232	1590	0	0	0	0	0	0	3905	18333	0	0	0	0	4642	1145	948	0	0	0	0	1944	0	509	3517	0	385	0	0	0	98	0	0	0	1297	0	0	0	519	1283	0	0	0	0	0	135	0	4560	5356	0	0	0	0	0	0	0	0	7273	0	0	0	0	0	0	0	0	0	0	866	0	0	281	874	0	0	459	2102	102	0	199	3303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11721	0	0	0	0	0	0	0	1715	1502	1940	348	0	0	0	0	0	294	9725	0	0	0	0	330	132575	0	0	0	4707	6996	0	0	0	0	5266	112	0	2206	1642	511	0	215	499	10891	0	0	0	0	0	0	0	4554	0	0	0	515	0	0	0	0	993	0	0	3769	0	541	0	1216	0	0	0	0	0	0
Cottus gobio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3318	11683	1448	0	0	0	0	2876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	876	608	0	0	0	0	0	0	1988	0
Cottus poecilopus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7783	0	3398	0	2442	546	0	0	0	0	0	0
Gasterosteus aculeatus	0	3858	0	5457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29615	0	0	0	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0	0	0	0	4395	0	0	0	1133	642	935	0	0	0	0	605	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1428	0	0	0	0	0	0	0	0	0	1113	0	0	0	266	0	0	0	0
Sander+Perca	10837	4747	0	0	8864	0	30387	7312	0	0	0	3172	13448	13985	0	0	0	6602	31213	4251	2719	50047	51378	11651	41195	4590	24625	3049	40858	0	5016	0	0	0	0	1514	3591	974	0	0	591	466	2002	1170	0	347	0	7009	585	0	4883	9362	1302	0	684	0	2460	10554	12818	157123	37242	0	6588	0	0	84582	15667	0	120090	117707	0	65839	12303	9255	0	3123	0	49147	24544	0	7991	29529	5313	3152	49291	101415	19194	10382	52760	12451	2509	5438	30501	2467	0	35297	13783	17251	48480	0	17512	3420	0	2783	34329	0	6377	2528	0	3909	5515	3369	0	0	11544	24209	21010	3738	5323	25480	3619	30955	1994	11740	10471	4763	9917	4457	0	0	4987	2171	0	40665	0	0	0	0	19796	1852	1262	0	0	35652	9570	0	0	0	9051	21430	916	4525	17733	23841	12129	5018	25577	630	51803	92146	4046	2802	0	1692	10235	12104	9662	5498	1681	4236	421	1252	0	0	0	4595	8554	11634	9641	6092	2253	10302	1447	2586	1823	478	2425	3597	3537
Coregonus-sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5290	11090	1721	0	0	0	0	2329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oncorhynchus mykiss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	1205	0	0	0	0	5967	5049	0	0	4818	0	0	682	0	22369	17569	13119	0	0	0	0	14373	18777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salmo trutta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7018	0	0	0	0	0	0	0	0	5140	7138	2257	0	0	0	0	14505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	0	0	0	0	2258	1533	0	0	0	2416	0	0	0	0	0	6735	0
Salvelinus fontinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2740	0	0	0	0	0	0	0	0	0	0	4690	0	0	0	0	0	0	0	0	19387	5458	3962	0	0	0	0	25508	2448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thymallus thymallus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10801	10945	2521	0	0	0	0	5711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Silurus glanis	0	4430	0	0	0	0	0	0	0	0	0	0	0	1589	0	0	0	0	0	0	1347	3344	0	0	0	0	7943	8914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30921	9007	0	1158	1225	0	3271	0	0	0	0	0	4416	0	0	0	0	0	0	984	16153	2753	1822	575	1264	0	0	1600	2522	527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	504	0	0	0	1748	0	2228	0	0	0	1391	0	0	0	0	0	0	0	0	0	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lampetra planeri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Total	162928	73866	25255	85324	52051	52577	320318	87255	22910	20962	42393	59526	71235	118679	50849	42941	16169	72117	35861	55854	59293	231973	142687	108045	133903	47139	131870	140983	156295	108988	28660	42835	43622	18182	23135	53142	97698	21400	30166	36905	37251	60285	60411	51493	23905	15953	65832	72690	23586	8411	58115	67019	19258	41254	56044	22256	15997	59367	67950	725967	98744	47857	60873	19419	13833	341867	75175	45920	823771	457388	74795	298290	112149	64285	88468	24909	32996	129537	87720	37439	78354	123272	61656	82901	182252	317704	66530	70146	127880	64494	57892	49078	127681	61771	26210	161710	49602	446050	196531	86243	50714	68831	55880	63014	77507	24452	216904	32557	47132	76533	44944	55133	60873	49479	205244	106436	111186	53910	43930	76712	50625	125965	61056	217344	227395	126436	75777	48026	41238	100568	185655	264066	31866	145944	15030	17420	45551	24054	88246	146955	14980	22284	24708	114102	101385	48524	13186	26153	49825	103547	34400	27885	98252	87609	47425	23941	115867	22544	199818	273788	78895	50875	161288	84850	62300	148817	100951	46627	35562	64614	42313	37200	61415	38446	34256	44097	63172	187024	159672	223743	122647	156445	27362	111839	63555	39648	85499	118574	66268
Assigned	13424	13035	0	25877	8864	0	103397	26270	0	0	2289	3172	16190	24155	9364	24443	2223	20631	31213	17077	19454	124361	94668	64027	102842	16417	86031	79331	98468	982	6024	1512	0	2229	0	18055	7970	1887	1399	104	2871	2201	2997	1170	2001	924	5261	15076	3189	0	5402	28174	1302	0	1268	801	4599	11311	23406	606758	56624	0	6588	0	0	152398	48983	0	556016	385179	5899	149444	45017	25832	12746	3123	3332	69098	30882	3162	26121	78406	24180	45952	139572	260719	45027	50841	93148	28985	10048	9758	92664	9433	8860	103558	18652	329669	55261	2566	29042	20253	0	22057	41939	10046	45719	3871	2087	31222	12530	22361	18256	10921	108210	68802	72382	18940	19597	47080	19066	87748	23822	138802	115836	99011	36556	6735	12574	8874	116806	90305	564	119982	6268	0	0	5700	72990	136411	4116	2688	561	75299	80102	2746	4021	1112	35525	57107	5642	9830	51997	76917	34953	5960	72435	4597	151393	152453	13219	11862	0	23381	19359	19163	42799	11798	9231	20063	8410	1744	5882	995	8079	11348	13640	40928	18756	43851	28348	35932	5528	30074	28584	2636	7611	37724	9022
Unassigned	149504	60831	25255	59447	43187	52577	216921	60985	22910	20962	40104	56354	55045	94524	41485	18498	13946	51486	4648	38777	39839	107612	48019	44018	31061	30722	45839	61652	57827	108006	22636	41323	43622	15953	23135	35087	89728	19513	28767	36801	34380	58084	57414	50323	21904	15029	60571	57614	20397	8411	52713	38845	17956	41254	54776	21455	11398	48056	44544	119209	42120	47857	54285	19419	13833	189469	26192	45920	267755	72209	68896	148846	67132	38453	75722	21786	29664	60439	56838	34277	52233	44866	37476	36949	42680	56985	21503	19305	34732	35509	47844	39320	35017	52338	17350	58152	30950	116381	141270	83677	21672	48578	55880	40957	35568	14406	171185	28686	45045	45311	32414	32772	42617	38558	97034	37634	38804	34970	24333	29632	31559	38217	37234	78542	111559	27425	39221	41291	28664	91694	68849	173761	31302	25962	8762	17420	45551	18354	15256	10544	10864	19596	24147	38803	21283	45778	9165	25041	14300	46440	28758	18055	46255	10692	12472	17981	43432	17947	48425	121335	65676	39013	161288	61469	42941	129654	58152	34829	26331	44551	33903	35456	55533	37451	26177	32749	49532	146096	140916	179892	94299	120513	21834	81765	34971	37012	77888	80850	57246
