	KS01	KS02	KS03	KS04	KS05	KS06	KS07	KS08	KS09	KS10	KS11	KS12	KS13	KS14	KS15	KS16	KS17	KS18	KS19	KS20	KS21	KS22	KS23	KS24	KS25	KS26	KS27	KS29	KS30	KSD	KSE	KSF	KSN	KSP	KW01	KW02	KW03	KW04	KW05	KW06	KW07	KW08	KW09	KW10	KW11	KW12	KW13	KW14	KW15	KW16	KW17	KW18	KW19	KW20	KW21	KW22	KW23	KW24	KW25	KW26	KW27	KW28	KW29	KW30	KWD	KWE	KWF	KWN	KWP	RS01	RS02	RS03	RS04	RS05	RS06	RS07	RS08	RS09	RS10	RS11	RS12	RS13	RS14	RS15	RS16	RS17	RS18	RS19	RS20	RS21	RS22	RS23	RS24	RS25	RS26	RS27	RS28	RS29	RS30	RS31	RS32	RS33	RS34	RS35	RS36	RS37	RS38	RSD	RSE	RSF	RSN	RSP	RW01	RW02	RW03	RW04	RW05	RW06	RW07	RW08	RW09	RW10	RW11	RW12	RW13	RW14	RW15	RW16	RW17	RW18	RW19	RW20	RW21	RW22	RW23	RW24	RW25	RW26	RW27	RW28	RW29	RW33	RW34	RW35	RW36	RW37	RW38	RWD	RWE	RWF	RWN	RWP	ZS01	ZS02	ZS03	ZS04	ZS05	ZS06	ZS07	ZS08	ZS09	ZS10	ZS11	ZS12	ZS13	ZS14	ZS15	ZS16	ZS17	ZS18	ZS19	ZS20	ZS21	ZS22	ZS23	ZS24	ZS25	ZS26	ZS28	ZS29	ZSD	ZSE	ZSF	ZSN	ZSP	ZW01	ZW02	ZW03	ZW04	ZW05	ZW06	ZW07	ZW08	ZW09	ZW10	ZW11	ZW12	ZW13	ZW14	ZW15	ZW16	ZW17	ZW18	ZW19	ZW20	ZW21	ZW22	ZW23	ZW24	ZW25	ZW26	ZW27	ZW28	ZW29	ZWD	ZWE	ZWF	ZWN	ZWP	Zwde
Oncorhynchus mykiss	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1130	0	0	0	0	5655	4784	0	0	4562	0	0	645	0	20866	16507	11592	0	0	1	0	13326	17673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Squalius cephalus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1465	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	9234	0	0	0	0	0	0	1952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3135	0	2893	0	0	1159	0	0	0	0	0	7259	3717	1287	0	0	0	0	5071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1072	1008	0	3083	0	0	0	0	0	0	0	974	0	0	1948	842	1318	0	1622	1298	4620	0	18654	1	1402	7070	3312	0	0	0	0	0	0	0
Salvelinus fontinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2609	0	0	0	0	0	0	0	0	0	0	1583	0	0	0	0	0	0	0	0	17607	4287	3711	0	0	0	0	20989	2273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phoxinus phoxinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2196	0	4701	759	1820	0	0	0	0	5615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6748	0	4122	2725	0	0	0	0	0	0	12965	2167	0	0	0	0	0	0
Salmo trutta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6645	0	0	0	0	0	0	0	0	4814	6713	2117	0	0	0	0	12759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409	0	0	0	0	2115	1459	0	0	0	2256	0	0	0	0	0	6346	0	0	0	0	0	0	0
Gobio gobio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	18184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1394	3007	2015	0	0	0	0	2033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1302	0	0	0	1881	0	0	0	0	0	1718	0	0	0	0	0	0	0
Tinca tinca	2489	0	0	0	2	0	0	9899	0	0	0	0	0	0	0	0	0	0	0	0	0	2477	0	0	0	0	0	1071	0	0	0	0	0	0	1	0	0	0	0	0	3479	0	0	0	0	0	777	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2661	804	0	0	0	0	0	854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	796	1369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439	0	0	0	1505	0	0	0	0	0	0	0	482	0	0	1	1701	0	0	0	0	0	0	0	0
Thymallus thymallus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	10095	10223	2361	0	0	0	0	5417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
Cottus gobio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3115	10967	1	0	0	0	0	2711	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	831	548	0	0	0	0	0	0	1895	0	0	0	0	0	0	0
Hypophthalmichthys molitrix	0	0	0	0	2558	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	1	26	0	0	0	0	0	0	2043	0	1	0	0	0	2	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	5170	0	0	0	20	0	2904	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	3886	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1963	3649	0	0	0	0	0	489	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	3	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	5	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
