Reservoir	Season	Abramis brama	Acipenser-sp.	Anguilla anguilla	Barbatula barbatula	Barbus barbus	Blicca+Vimba	Carassius auratus	Carassius carassius	Chondrostoma nasus	Coregonus-sp.	Cottus gobio	Cottus poecilopus	Ctenopharyngodon idella	Cyprinus carpio	Esox lucius	Gasterosteus aculeatus	Gobio gobio	Hypophthalmichthys nobilis	L.idus+leuciscus	Lampetra planeri	Lepomis gibbosus	Oncorhynchus mykiss	Phoxinus phoxinus	Pseudorasbora parva	Rhodeus amarus	Rutilus rutilus	Salmo trutta	Salvelinus fontinalis	Sander+Perca	Silurus glanis	Thymallus thymallus	Tinca tinca
Klíčava	Summer	167352	0	16624	0	0	0	0	0	0	0	0	0	0	1292	53918	9315	19493	0	0	0	0	0	0	0	0	349597	0	0	364930	27567	0	17135
Klíčava	Autumn	26899	0	2429	0	760	584	0	0	0	0	0	14748	0	7107	9687	0	318	1512	0	0	0	0	0	1420	2001	13811	684	0	65328	0	0	4827
Římov	Summer	779938	0	1030	227	0	8791	531	0	1052	0	3350	0	1052	25276	25375	0	4548	0	62062	0	13749	232	3446	0	0	1113465	0	0	1084683	78198	0	0
Římov	Autumn	433051	8286	0	1404	0	5586	2723	2164	7231	20430	19325	0	15065	152960	17226	37599	9081	3179	28182	248	0	103928	16330	19824	0	383643	36058	64193	321851	4815	29978	4586
Žlutice	Summer	15450	0	0	0	0	0	0	0	0	0	0	509	4199	25600	175969	283	0	0	113350	0	0	0	0	0	0	453494	0	0	373596	6622	0	2297
Žlutice	Autumn	24961	0	0	2322	0	872	4142	0	0	0	3472	14169	1103	63996	11588	2807	5147	0	17218	0	0	0	32337	796	0	184372	13383	0	122593	330	0	4359
