Reservoir	Season	Abramis brama	Acipenser-sp.	Alburnus alburnus	Anguilla anguilla	Aspius+Scardinius	Barbatula barbatula	Barbus barbus	Blicca+Vimba	Carassius auratus	Carassius carassius	Chondrostoma nasus	Coregonus-sp.	Cottus gobio	Ctenopharyngodon idella	Cyprinus carpio	Esox lucius	Gobio gobio	Hypophthalmichthys molitrix	Hypophthalmichthys nobilis	L.idus+leuciscus	Lepomis gibbosus	Oncorhynchus mykiss	Phoxinus phoxinus	Pseudorasbora parva	Rhodeus amarus	Rutilus rutilus	Salmo trutta	Salvelinus fontinalis	Sander+Perca	Silurus glanis	Squalius cephalus	Thymallus thymallus	Tinca tinca
Klíčava	Summer	130499	0	0	2785	138430	0	0	0	0	0	0	0	0	0	995	41451	13996	2051	0	0	0	0	0	0	0	264146	0	0	285526	20646	2833	0	13138
Klíčava	Autumn	20614	0	0	0	7115	0	593	445	0	0	0	0	0	0	5496	7336	232	1602	1117	0	0	0	0	1099	1521	10180	526	0	50343	0	1349	0	3554
Římov	Summer	595327	0	343682	810	121625	176	0	6939	0	0	814	0	2605	814	19827	19267	3599	6550	0	48283	10518	195	2604	0	0	840920	0	0	836362	59015	7779	0	0
Římov	Autumn	328160	6358	84630	0	92705	1055	0	4237	2083	1750	5554	13178	13437	11821	118662	13547	7305	8037	2445	21635	0	79666	11822	14909	0	281666	26721	42915	245584	3691	21608	22289	3508
Žlutice	Summer	12001	0	244	0	55499	0	0	0	0	0	0	0	0	3280	19777	134100	0	0	0	83465	0	0	0	0	0	337044	0	0	286068	4850	1342	0	1799
Žlutice	Autumn	19282	0	1979	0	18120	1769	0	685	3414	0	0	0	2680	857	48638	8587	4007	0	0	12002	0	0	22695	575	0	139950	10274	0	94820	261	38770	0	3252
