Reservoir	Season	Abramis brama	Acipenser-sp.	Alburnus alburnus	Anguilla anguilla	Aspius+Scardinius	Barbatula barbatula	Barbus barbus	Blicca+Vimba	Carassius auratus	Carassius carassius	Chondrostoma nasus	Coregonus-sp.	Cottus gobio	Ctenopharyngodon idella	Cyprinus carpio	Esox lucius	Gobio gobio	Hypophthalmichthys molitrix	Hypophthalmichthys nobilis	L.idus+leuciscus	Lepomis gibbosus	Oncorhynchus mykiss	Phoxinus phoxinus	Pseudorasbora parva	Rhodeus amarus	Rutilus rutilus	Salmo trutta	Salvelinus fontinalis	Sander+Perca	Silurus glanis	Thymallus thymallus	Tinca tinca
Klíčava	Summer	148719	0	0	3407	164783	0	0	0	0	0	0	0	0	0	1121	48805	16645	2317	0	0	0	0	0	0	0	308758	0	0	325905	24424	0	15283
Klíčava	Autumn	23699	0	0	0	8293	0	671	491	0	0	0	0	0	0	6554	8571	266	1856	1316	0	0	0	0	1316	1764	11877	592	0	57757	0	0	4133
Římov	Summer	705943	0	399040	925	141170	197	0	7869	472	0	923	0	2938	900	22454	22121	4005	7397	0	54822	11993	205	2978	0	0	1002177	0	0	959822	69254	0	0
Římov	Autumn	376846	7386	96559	0	111402	1243	0	4817	2392	1928	6310	15502	15494	13151	132534	15746	8413	9115	2743	24647	0	90125	13515	17000	0	338068	30411	49850	277522	4421	25994	3952
Žlutice	Summer	13487	0	281	0	63752	0	0	0	0	0	0	0	0	3652	22740	155708	0	0	0	100225	0	0	0	0	0	403779	0	0	331413	5681	0	2040
Žlutice	Autumn	21942	0	2210	0	21140	2029	0	775	3729	0	0	0	3049	965	56189	10215	4511	0	0	13799	0	0	26602	692	0	161025	11831	0	108245	290	0	3734
