Reservoir	Season	Abramis brama	Acipenser-sp.	Alburnus alburnus	Anguilla anguilla	Aspius+Scardinius	Barbatula barbatula	Barbus barbus	Blicca+Vimba	Carassius auratus	Carassius carassius	Chondrostoma nasus	Coregonus-sp.	Cottus gobio	Ctenopharyngodon idella	Cyprinus carpio	Esox lucius	Gobio gobio	Gymnocephalus cernua	Hypophthalmichthys nobilis	L.idus+leuciscus	Lepomis gibbosus	Oncorhynchus mykiss	Phoxinus phoxinus	Pseudorasbora parva	Rhodeus amarus	Rutilus rutilus	Salmo trutta	Salvelinus fontinalis	Sander+Perca	Silurus glanis	Squalius cephalus	Thymallus thymallus	Tinca tinca
Klíčava	Summer	119435	0	0	16221	157864	0	0	0	0	0	0	0	0	0	1253	52308	0	61033	0	0	0	0	0	0	0	438152	0	0	353980	26531	0	0	3559
Klíčava	Autumn	4645	0	0	2376	13252	0	752	560	0	0	0	0	0	0	6951	9435	398	8920	1440	0	0	0	0	1412	1942	13329	653	0	63414	0	1613	0	4347
Římov	Summer	225900	0	0	1016	59958	229	0	9296	524	0	0	0	0	1026	24932	24739	4376	155298	0	35432	13396	228	3414	0	0	1614121	0	0	1053195	75494	13814	0	0
Římov	Autumn	215989	483	10769	0	129346	1367	0	2450	2643	2108	10329	18212	1401	6364	149933	16840	4856	41442	3601	16354	0	104813	16105	19337	0	472969	31547	58635	310665	4740	30537	34402	11666
Žlutice	Summer	4497	0	0	0	24924	0	0	0	0	0	0	0	0	0	24980	172684	0	17619	0	99495	0	0	0	0	0	513328	0	0	361989	6401	1904	0	819
Žlutice	Autumn	16384	0	0	0	23560	2225	0	0	4071	0	0	0	0	1072	62188	11200	3085	12988	0	12326	0	0	31200	747	0	196790	12955	0	118180	315	46643	0	3707
