Reservoir	Season	Abramis brama	Acipenser-sp.	Alburnus alburnus	Anguilla anguilla	Aspius+Scardinius	Barbatula barbatula	Barbus barbus	Blicca+Vimba	Carassius auratus	Carassius carassius	Chondrostoma nasus	Coregonus-sp.	Cottus gobio	Ctenopharyngodon idella	Cyprinus carpio	Esox lucius	Gobio gobio	Hypophthalmichthys molitrix	Hypophthalmichthys nobilis	L.idus+leuciscus	Lepomis gibbosus	Oncorhynchus mykiss	Phoxinus phoxinus	Pseudorasbora parva	Rhodeus amarus	Rutilus rutilus	Salmo trutta	Salvelinus fontinalis	Sander+Perca	Silurus glanis	Squalius cephalus	Thymallus thymallus	Tinca tinca
Klíčava	Summer	155780	0	0	3667	173790	0	0	0	0	0	0	0	0	0	1209	50886	18184	2558	0	0	0	0	0	0	0	328640	0	0	344932	26053	3622	0	15936
Klíčava	Autumn	25583	0	0	0	8986	0	708	543	0	0	0	0	0	0	6681	9116	294	2043	1424	0	0	0	0	1352	1914	13023	638	0	61278	0	1687	0	4569
Římov	Summer	738085	0	425502	964	148943	207	0	8465	478	0	987	0	3160	968	23886	23728	4274	8074	0	58874	12713	216	3242	0	0	1046270	0	0	1018258	74022	9370	0	0
Římov	Autumn	401116	7773	102323	0	115296	1161	0	5281	2574	2019	6792	16739	16793	14206	140373	16255	8449	9987	2966	26773	0	96740	15091	17991	0	352930	33048	53059	297804	4548	26473	28096	4319
Žlutice	Summer	14569	0	289	0	68766	0	0	0	0	0	0	0	0	3985	24209	165368	0	0	0	106370	0	0	0	0	0	426496	0	0	351869	6047	1634	0	2165
Žlutice	Autumn	23670	0	2385	0	22791	2218	0	820	3909	0	0	0	3274	1047	60043	10985	4901	0	0	14939	0	0	28727	758	0	173980	12585	0	115820	313	48223	0	4127
